ingredient_inci,function
Niacinamide,Conditioning
Retinol,Skin conditioning
Retinal,Skin conditioning
Salicylic Acid,Exfoliating
Glycolic Acid,Exfoliating
Lactic Acid,Exfoliating
Azelaic Acid,Skin conditioning
Ascorbic Acid,Antioxidant
Tranexamic Acid,Skin conditioning
Bakuchiol,Skin conditioning
Glycerin,Humectant
Hyaluronic Acid,Humectant
Sodium Hyaluronate,Humectant
Urea,Humectant
Panthenol,Humectant
Betaine,Humectant
Squalane,Emollient
Dimethicone,Emollient
Dimethicone,Skin protecting
Petrolatum,Occlusive
Petrolatum,Skin protecting
Shea Butter,Emollient
Ceramide NP,Skin conditioning
Ceramide AP,Skin conditioning
Ceramide EOP,Skin conditioning
Cholesterol,Emollient
Tocopherol,Antioxidant
Ferulic Acid,Antioxidant
Resveratrol,Antioxidant
Ubiquinone,Antioxidant
Phenoxyethanol,Preservative
Sodium Benzoate,Preservative
Potassium Sorbate,Preservative
