ingredient_inci,precaution_type,description
Retinol,Sensitivity,Puede aumentar la sensibilidad de la piel y requiere especial cuidado al introducirlo en la rutina.
Retinal,Sensitivity,Puede aumentar la sensibilidad de la piel y debe introducirse progresivamente.
Salicylic Acid,Sensitivity,Puede producir irritación o resequedad en algunas personas.
Glycolic Acid,Sensitivity,Puede producir irritación y aumentar la sensibilidad de la piel.
Lactic Acid,Sensitivity,Puede producir irritación o sensibilidad en algunas personas.
Azelaic Acid,Sensitivity,Puede producir irritación o sensación de ardor en algunas personas.
Ascorbic Acid,Sensitivity,Las formulaciones con ácido ascórbico pueden producir irritación en algunas pieles.
Tranexamic Acid,Sensitivity,Puede producir irritación en algunas personas dependiendo de la formulación.
Bakuchiol,Sensitivity,Puede producir irritación en algunas personas aunque generalmente se utiliza como ingrediente cosmético bien tolerado.
Urea,Sensitivity,Concentraciones altas pueden producir sensación de ardor o irritación.
Phenoxyethanol,Formulation,Su uso está sujeto a límites y condiciones establecidos para los productos cosméticos.
Sodium Benzoate,Formulation,Su uso depende de la formulación y de las condiciones regulatorias aplicables.
Potassium Sorbate,Formulation,Su uso depende de la formulación y de las condiciones regulatorias aplicables.
