ingredient_inci,skin_type
Niacinamide,All
Retinol,Normal
Retinol,Oily
Retinol,Combination
Retinal,Normal
Retinal,Oily
Retinal,Combination
Salicylic Acid,Oily
Salicylic Acid,Combination
Glycolic Acid,Normal
Glycolic Acid,Oily
Glycolic Acid,Combination
Lactic Acid,Normal
Lactic Acid,Dry
Azelaic Acid,Oily
Azelaic Acid,Combination
Ascorbic Acid,All
Tranexamic Acid,All
Bakuchiol,Normal
Bakuchiol,Dry
Bakuchiol,Oily
Bakuchiol,Combination
Glycerin,All
Hyaluronic Acid,All
Sodium Hyaluronate,All
Urea,Dry
Urea,Normal
Panthenol,All
Betaine,All
Squalane,Dry
Squalane,Normal
Squalane,Combination
Dimethicone,Dry
Dimethicone,Normal
Dimethicone,Combination
Petrolatum,Dry
Petrolatum,Normal
Shea Butter,Dry
Shea Butter,Normal
Ceramide NP,Dry
Ceramide NP,Normal
Ceramide AP,Dry
Ceramide AP,Normal
Ceramide EOP,Dry
Ceramide EOP,Normal
Cholesterol,Dry
Cholesterol,Normal
Tocopherol,All
Ferulic Acid,All
Resveratrol,All
Ubiquinone,All
Phenoxyethanol,All
Sodium Benzoate,All
Potassium Sorbate,All
