inci_name,common_name,description,category,evidence_level,notes
Niacinamide,Niacinamida,Forma de vitamina B3 soluble en agua utilizada ampliamente en productos cosméticos.,Active,High,
Retinol,Retinol,Forma de vitamina A utilizada en cosmética principalmente en productos orientados al cuidado de la piel y signos de fotoenvejecimiento.,Active,High,
Retinal,Retinaldehído,Retinoide que puede encontrarse en productos cosméticos para el cuidado de la piel.,Active,High,
Salicylic Acid,Ácido salicílico,Ácido beta-hidroxi utilizado en productos cosméticos y dermatológicos por sus propiedades exfoliantes.,Active,High,
Glycolic Acid,Ácido glicólico,Alfa-hidroxiácido utilizado como agente exfoliante en productos para el cuidado de la piel.,Active,High,
Lactic Acid,Ácido láctico,Alfa-hidroxiácido utilizado en cosmética principalmente como exfoliante y agente humectante.,Active,High,
Azelaic Acid,Ácido azelaico,Ácido dicarboxílico utilizado en productos para el cuidado de la piel.,Active,High,
Ascorbic Acid,Ácido ascórbico,Forma de vitamina C utilizada en cosmética por sus propiedades antioxidantes.,Antioxidant,High,
Tranexamic Acid,Ácido tranexámico,Ingrediente utilizado en algunos productos cosméticos orientados al cuidado de la pigmentación.,Active,Medium,
Bakuchiol,Bakuchiol,Ingrediente de origen vegetal utilizado en productos cosméticos como alternativa cosmética a algunos retinoides.,Active,Medium,
Glycerin,Glicerina,Humectante que ayuda a atraer y retener agua en la capa superficial de la piel.,Humectant,High,
Hyaluronic Acid,Ácido hialurónico,Polisacárido utilizado en cosmética principalmente por sus propiedades humectantes.,Humectant,High,
Sodium Hyaluronate,Hialuronato de sodio,Sal del ácido hialurónico utilizada como ingrediente humectante en productos cosméticos.,Humectant,High,
Urea,Urea,Compuesto utilizado en cosmética por sus propiedades humectantes y acondicionadoras.,Humectant,High,
Panthenol,Pantenol,Provitamina B5 utilizada en productos cosméticos como humectante y acondicionador.,Humectant,High,
Betaine,Betaína,Compuesto utilizado en formulaciones cosméticas principalmente como agente acondicionador y humectante.,Humectant,Medium,
Squalane,Escualano,Emoliente utilizado para ayudar a suavizar y acondicionar la piel.,Emollient,High,
Dimethicone,Dimeticona,Polímero de silicona utilizado como acondicionador y agente protector de la piel.,Occlusive,High,
Petrolatum,Petrolato,Mezcla semisólida utilizada como agente oclusivo y acondicionador de la piel.,Occlusive,High,
Shea Butter,Manteca de karité,Grasa vegetal utilizada principalmente como emoliente y acondicionador.,Emollient,Medium,
Ceramide NP,Ceramida NP,Lípido utilizado en formulaciones cosméticas orientadas al acondicionamiento y soporte de la barrera cutánea.,Emollient,High,
Ceramide AP,Ceramida AP,Lípido utilizado como agente acondicionador en formulaciones para el cuidado de la piel.,Emollient,High,
Ceramide EOP,Ceramida EOP,Lípido utilizado en productos cosméticos para el acondicionamiento de la piel y soporte de la barrera.,Emollient,High,
Cholesterol,Colesterol,Lípido utilizado en formulaciones cosméticas como agente acondicionador de la piel.,Emollient,High,
Tocopherol,Tocoferol,Forma de vitamina E utilizada principalmente como antioxidante en formulaciones cosméticas.,Antioxidant,High,
Ferulic Acid,Ácido ferúlico,Compuesto fenólico utilizado en cosmética principalmente por sus propiedades antioxidantes.,Antioxidant,Medium,
Resveratrol,Resveratrol,Polifenol utilizado en productos cosméticos principalmente por sus propiedades antioxidantes.,Antioxidant,Medium,
Ubiquinone,Coenzima Q10,Compuesto antioxidante utilizado en productos cosméticos para el cuidado de la piel.,Antioxidant,Medium,
Phenoxyethanol,Fenoxietanol,Conservante utilizado para ayudar a controlar el crecimiento de microorganismos en formulaciones cosméticas.,Preservative,High,
Sodium Benzoate,Benzoato de sodio,Conservante utilizado en productos cosméticos para ayudar a controlar el crecimiento microbiano.,Preservative,High,
Potassium Sorbate,Sorbato de potasio,Conservante utilizado en formulaciones cosméticas para controlar el crecimiento de microorganismos.,Preservative,High
